report_number,crash_year,role,person_number,home_zip,age,sex,injury_severity,vehicle_number,driver_distraction_code,driver_condition_code,driver_action_1,driver_action_2,driver_action_3,driver_action_4,non_motorist_description_code,location_code,action_prior_to_crash_code,action_code1,action_code2,crash_date_time,latitude,longitude
89140883,2019,P,4,32309,68,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T16:26:00Z,30.528239,-84.188569
89140884,2019,P,3,32308,25,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T17:40:00Z,30.44658,-84.226451
89140884,2019,P,4,32309,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T17:40:00Z,30.44658,-84.226451
89140885,2019,P,3,32301,13,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T18:15:00Z,30.463563,-84.292107
89140885,2019,P,4,32301,0,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T18:15:00Z,30.463563,-84.292107
89140810,2019,P,3,33433,52,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-03T22:17:00Z,30.44056,-84.31641
89140810,2019,P,4,32448,37,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-03T22:17:00Z,30.44056,-84.31641
89140810,2019,P,5,32448,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-03T22:17:00Z,30.44056,-84.31641
89140810,2019,P,6,32448,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-03T22:17:00Z,30.44056,-84.31641
89140810,2019,P,7,32884,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-03T22:17:00Z,30.44056,-84.31641
89140547,2019,P,3,32303,29,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-25T22:13:00Z,30.470484,-84.292486
89140547,2019,P,4,32304,27,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-25T22:13:00Z,30.470484,-84.292486
89140547,2019,P,5,32310,30,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-04-25T22:13:00Z,30.470484,-84.292486
89141303,2019,P,3,32301,9,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-24T19:33:00Z,30.451558,-84.226357
89141340,2019,P,3,32303,82,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-27T16:19:00Z,30.455001,-84.262464
89140893,2019,P,3,32063,20,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-06T19:00:00Z,30.436632,-84.283252
87511832,2019,P,3,31719,NA,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-10T13:40:00Z,30.44315,-84.33881
89142000,2019,P,3,32303,6,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-24T12:12:00Z,30.436559,-84.285596
89142000,2019,P,4,32303,9,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-24T12:12:00Z,30.436559,-84.285596
89142056,2019,P,3,32312,4,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-26T19:05:00Z,30.486091,-84.277278
89141982,2019,P,3,33781,22,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-06-21T15:18:00Z,30.449008,-84.309397
89140914,2019,P,3,32308,39,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T14:46:00Z,30.504522,-84.25042
89140914,2019,P,4,32308,10,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2019-05-07T14:46:00Z,30.504522,-84.25042
