report_number,crash_year,crash_date_time,first_harmful_event,total_number_of_vehicles,total_number_of_persons,on_street_road_highway,street_address_number,latitude,longitude,feet_from_intersection,miles_from_intersection,direction_from_intersection,from_intersection_of,from_milepost_number,road_system_identifier,first_harmful_event,harmful_event_location,other1,tallahassee_democrat,wtxl
89139834,2019,2019-04-02 09:19,14,2,3,E 6TH AVE,,30.456306,-84.262734,15,,W,N MAGNOLIA DR,,5,14,1,EC2,,
87505294,2019,2019-04-02 10:14,14,2,2,SPRINGSAX DR,,30.407709,-84.305547,0,,,SPRINGHILL RD,,5,14,1,EC2,,
89139838,2019,2019-04-02 11:08,14,2,2,LAKE AVE,,30.424506,-84.302398,,,,LAKE BRADFORD RD,,5,14,1,EC2,,
89139839,2019,2019-04-02 11:30,14,2,3,Kerry Forest Pkwy,,30.542178,-84.228077,,,,THOMASVILLE RD,,2,14,1,EC2,,
89139841,2019,2019-04-02 11:45,14,2,2,N Blair Stone Rd,,30.443028,-84.249656,436,,N,BLAIR STONE RD,,5,14,1,EC2,,
89139845,2019,2019-04-02 12:10,14,2,2,Mahan Dr,,30.459213,-84.230147,542,,E,FORT KNOX BLVD,,5,14,1,EC2,,
89139840,2019,2019-04-02 12:13,14,2,4,W Tennessee St,,30.458772,-84.360667,,,,CAPITAL CIR NW,,5,14,1,EC2,,
89139842,2019,2019-04-02 13:27,14,2,2,Gibbs Dr,,30.461365,-84.291844,,,,W 10TH AVE,,5,14,1,EC2,,
89139844,2019,2019-04-02 13:54,14,2,2,Mahan Dr,,30.45689,-84.236643,,,,RIGGINS RD,,5,14,1,EC2,,
89139846,2019,2019-04-02 14:15,14,2,4,N Duval St,,30.449041,-84.283114,,,,W BREVARD ST,,5,14,1,EC2,,
89139843,2019,2019-04-02 14:25,14,2,2,Thomasville Rd,,30.542722,-84.228021,144,,N,KERRY FOREST PKWY,,5,14,1,EC2,,
89139847,2019,2019-04-02 14:30,15,2,1,Ocala Rd,800,30.44574,-84.318008,,,,,,9,15,8,EC2,,
89139848,2019,2019-04-02 14:52,14,2,2,W Tennessee St,,30.449001,-84.307463,,,,CONRADI ST,,5,14,1,EC2,,
87505296,2019,2019-04-02 15:50,39,1,2,BREEZEE CT,3986,30.517134,-84.346149,0,,,,,5,39,2,EC2,,
87505295,2019,2019-04-02 16:08,14,2,2,Crawfordville Rd,,30.381789,-84.289528,0,,,ROSS RD,,5,14,1,EC2,,
89139850,2019,2019-04-02 16:14,14,2,2,Capital Circle NW,,30.482423,-84.363063,279,,S,GEARHART RD,,5,14,1,EC2,,
87505299,2019,2019-04-02 16:35,14,2,2,Buck Lake Rd,,,,0,,,NABB RD,,5,14,1,EC2,,
89139855,2019,2019-04-02 17:18,14,2,3,S Duval St,,30.438551,-84.283072,69,,S,W PENSACOLA ST,,5,14,1,EC2,,
